Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
TPLI,8.26,"2023, 2022, 2018, 2017, 2011","1, 1, 2, 1, 1",Yes,2023: 36.32% | 2022: 42.37% | 2018: 39.95% | 2017: 12.11% | 2011: 6.05%,2023: Rs.3.00 | 2022: Rs.3.50 | 2018: Rs.3.30 | 2017: Rs.1.00 | 2011: Rs.0.50,100.0%,High consistency (100.0%): 5 years with dividends
TPLP,9.92,"2023, 2022, 2021, 2018","1, 1, 3, 2",Yes,2023: 20.16% | 2022: 10.08% | 2021: 60.48% | 2018: 19.15%,2023: Rs.2.00 | 2022: Rs.1.00 | 2021: Rs.6.00 | 2018: Rs.1.90,100.0%,High consistency (100.0%): 4 years with dividends
TREET,22.76,"2023, 2021, 2017, 2016, 2015, 2014, 2013, 2012","1, 1, 1, 1, 2, 1, 2, 1",Yes,2023: 47.28% | 2021: 4.39% | 2017: 4.39% | 2016: 4.39% | 2015: 70.30% | 2014: 8.79% | 2013: 15.38% | 2012: 8.79%,2023: Rs.10.76 | 2021: Rs.1.00 | 2017: Rs.1.00 | 2016: Rs.1.00 | 2015: Rs.16.00 | 2014: Rs.2.00 | 2013: Rs.3.50 | 2012: Rs.2.00,100.0%,High consistency (100.0%): 8 years with dividends
TRG,59.09,"2021, 2015, 2014, 2009, 2006, 2004","1, 1, 1, 1, 2, 2",Yes,2021: 7.45% | 2015: 3.80% | 2014: 2.63% | 2009: 0.02% | 2006: 0.00% | 2004: 0.00%,2021: Rs.4.40 | 2015: Rs.2.25 | 2014: Rs.1.56 | 2009: Rs.0.01 | 2006: Rs.0.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
TRIPF,142.16,"2023, 2022, 2021, 2020, 2018, 2017, 2016, 2015, 2012","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2023: 4.22% | 2022: 3.52% | 2021: 9.14% | 2020: 3.52% | 2018: 2.81% | 2017: 7.03% | 2016: 7.03% | 2015: 5.58% | 2012: 7.03%,2023: Rs.6.00 | 2022: Rs.5.00 | 2021: Rs.13.00 | 2020: Rs.5.00 | 2018: Rs.4.00 | 2017: Rs.10.00 | 2016: Rs.10.00 | 2015: Rs.7.93 | 2012: Rs.10.00,100.0%,High consistency (100.0%): 9 years with dividends
TRSM,23.02,"2024, 2017, 2016, 2015, 2014, 2013, 2011, 2010, 2005","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2024: 2.17% | 2017: 1.52% | 2016: 1.30% | 2015: 3.69% | 2014: 2.17% | 2013: 2.61% | 2011: 2.17% | 2010: 2.17% | 2005: 2.61%,2024: Rs.0.50 | 2017: Rs.0.35 | 2016: Rs.0.30 | 2015: Rs.0.85 | 2014: Rs.0.50 | 2013: Rs.0.60 | 2011: Rs.0.50 | 2010: Rs.0.50 | 2005: Rs.0.60,100.0%,High consistency (100.0%): 9 years with dividends
TSBL,14.0,"2018, 2005, 2004","1, 1, 1",Yes,2018: 142.86% | 2005: 0.00% | 2004: 0.00%,2018: Rs.20.00 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
TSMF,11.75,"2024, 2005, 2004","1, 1, 1",Yes,2024: 8.51% | 2005: 1.70% | 2004: 0.00%,2024: Rs.1.00 | 2005: Rs.0.20 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
TSML,201.68,"2009, 2006, 2005","1, 1, 1",Yes,2009: 0.25% | 2006: 0.00% | 2005: 0.00%,2009: Rs.0.50 | 2006: Rs.0.00 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
UBDL,26.5,"2017, 2015, 2014, 2013, 2010, 2008, 2007, 2006, 2005","2, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2017: 284.91% | 2015: 3.77% | 2014: 3.77% | 2013: 3.77% | 2010: 301.89% | 2008: 3.77% | 2007: 3.77% | 2006: 3.77% | 2005: 0.00%,2017: Rs.75.50 | 2015: Rs.1.00 | 2014: Rs.1.00 | 2013: Rs.1.00 | 2010: Rs.80.00 | 2008: Rs.1.00 | 2007: Rs.1.00 | 2006: Rs.1.00 | 2005: Rs.0.00,100.0%,High consistency (100.0%): 9 years with dividends
UBL,371.82,"2025, 2024, 2023","2, 4, 4",Yes,2025: 7.26% | 2024: 11.83% | 2023: 11.83%,2025: Rs.27.00 | 2024: Rs.44.00 | 2023: Rs.44.00,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 4 dividends per year"
UBLPETF,34.08,"2025, 2024, 2023, 2021","1, 1, 1, 1",Yes,2025: 0.00% | 2024: 4.99% | 2023: 4.11% | 2021: 2.11%,2025: Rs.0.00 | 2024: Rs.1.70 | 2023: Rs.1.40 | 2021: Rs.0.72,100.0%,"Minor gap detected but overall consistent: 3 years with dividends, Pattern: 1 dividends per year"
UCAPM,4.75,"2005, 2004","1, 1",Yes,2005: 0.00% | 2004: 0.00%,2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 1 dividends per year"
UDPL,92.18,"2025, 2024, 2019, 2018, 2017, 2016, 2015, 2013","2, 2, 1, 1, 1, 1, 1, 1",Yes,2025: 33.90% | 2024: 6.51% | 2019: 0.27% | 2018: 0.27% | 2017: 1.08% | 2016: 2.17% | 2015: 1.08% | 2013: 10.85%,2025: Rs.31.25 | 2024: Rs.6.00 | 2019: Rs.0.25 | 2018: Rs.0.25 | 2017: Rs.1.00 | 2016: Rs.2.00 | 2015: Rs.1.00 | 2013: Rs.10.00,100.0%,High consistency (100.0%): 7 years with dividends
UNIC,16.3,"2024, 2023, 2022, 2021","2, 3, 4, 1",Yes,2024: 24.54% | 2023: 21.47% | 2022: 27.61% | 2021: 6.13%,2024: Rs.4.00 | 2023: Rs.3.50 | 2022: Rs.4.50 | 2021: Rs.1.00,100.0%,Perfect consistency: 4 consecutive years
UNITY,27.57,"2021, 2020, 2019, 2018, 2017, 2005, 2004","1, 1, 2, 1, 1, 1, 1",Yes,2021: 0.00% | 2020: 30.00% | 2019: 80.82% | 2018: 1.81% | 2017: 1477.72% | 2005: 0.00% | 2004: 0.00%,2021: Rs.0.00 | 2020: Rs.8.27 | 2019: Rs.22.28 | 2018: Rs.0.50 | 2017: Rs.407.41 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 7 years with dividends
UPFL,33413.8,"2025, 2024, 2023, 2022, 2021","1, 4, 3, 1, 1",Yes,2025: 1.57% | 2024: 5.62% | 2023: 1.28% | 2022: 0.86% | 2021: 0.73%,2025: Rs.525.00 | 2024: Rs.1877.00 | 2023: Rs.429.00 | 2022: Rs.287.00 | 2021: Rs.245.00,100.0%,Perfect consistency: 4 consecutive years
UVIC,9.56,"2017, 2008, 2007, 2006, 2005","1, 2, 1, 1, 1",Yes,2017: 21.07% | 2008: 57.53% | 2007: 20.92% | 2006: 26.15% | 2005: 18.31%,2017: Rs.2.01 | 2008: Rs.5.50 | 2007: Rs.2.00 | 2006: Rs.2.50 | 2005: Rs.1.75,100.0%,High consistency (100.0%): 5 years with dividends
WAHN,395.23,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.53% | 2023: 2.53% | 2022: 1.27% | 2021: 2.53% | 2020: 1.01% | 2019: 1.01% | 2018: 1.27% | 2017: 1.52% | 2016: 1.01% | 2015: 0.25%,2024: Rs.10.00 | 2023: Rs.10.00 | 2022: Rs.5.00 | 2021: Rs.10.00 | 2020: Rs.4.00 | 2019: Rs.4.00 | 2018: Rs.5.00 | 2017: Rs.6.00 | 2016: Rs.4.00 | 2015: Rs.1.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
WAVES,8.25,"2020, 2019, 2018, 2012, 2011, 2010, 2009","1, 1, 3, 2, 1, 1, 1",Yes,2020: 60.61% | 2019: 18.18% | 2018: 48.48% | 2012: 60.61% | 2011: 12.12% | 2010: 12.12% | 2009: 12.12%,2020: Rs.5.00 | 2019: Rs.1.50 | 2018: Rs.4.00 | 2012: Rs.5.00 | 2011: Rs.1.00 | 2010: Rs.1.00 | 2009: Rs.1.00,100.0%,High consistency (100.0%): 7 years with dividends
YOUW,5.04,"2014, 2006, 2005","1, 1, 2",Yes,2014: 4.96% | 2006: 9.92% | 2005: 0.00%,2014: Rs.0.25 | 2006: Rs.0.50 | 2005: Rs.0.00,100.0%,High consistency (100.0%): 3 years with dividends
ZAHID,88.37,"2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 2, 1, 1, 1, 1, 1, 1",Yes,2023: 1.13% | 2022: 1.13% | 2021: 2.60% | 2019: 0.96% | 2018: 0.40% | 2017: 0.57% | 2016: 1.13% | 2015: 3.39% | 2014: 18.11%,2023: Rs.1.00 | 2022: Rs.1.00 | 2021: Rs.2.30 | 2019: Rs.0.85 | 2018: Rs.0.35 | 2017: Rs.0.50 | 2016: Rs.1.00 | 2015: Rs.3.00 | 2014: Rs.16.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
ZIL,326.54,"2024, 2023, 2020, 2019, 2018, 2017, 2016, 2013, 2012","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 0.77% | 2023: 0.61% | 2020: 0.38% | 2019: 1.07% | 2018: 0.46% | 2017: 0.38% | 2016: 0.15% | 2013: 0.46% | 2012: 1.38%,2024: Rs.2.50 | 2023: Rs.2.00 | 2020: Rs.1.25 | 2019: Rs.3.50 | 2018: Rs.1.50 | 2017: Rs.1.25 | 2016: Rs.0.50 | 2013: Rs.1.50 | 2012: Rs.4.50,100.0%,High consistency (100.0%): 9 years with dividends
ZTL,20.49,"2022, 2021, 2019, 2018, 2011, 2005","1, 1, 1, 1, 1, 1",Yes,2022: 2.44% | 2021: 2.44% | 2019: 2.44% | 2018: 2.44% | 2011: 4.88% | 2005: 0.00%,2022: Rs.0.50 | 2021: Rs.0.50 | 2019: Rs.0.50 | 2018: Rs.0.50 | 2011: Rs.1.00 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 6 years with dividends, Pattern: 1 dividends per year"
